Aardam;ADM
Wassenaar;WSR
Wassenaar;WSR
Wateringen;WTN
Weert;WEER 
Wekerom;WEK
Wekhoven;WHV
Well;WELL
Wellerlooi;WELO
Wessem;WESS
Westbroek;WSB
Westervoort;WVT
Wijk bij Duurstede;WBD
Wilnis;WNI
Woerden;WRD
Woerden;WRN
Woerdense Verlaat;WVT
Wolfheze;WHZ
Woubrugge;WBE
Woudenberg;WDB
Ysselstein;YSSE
Zegveld;ZGV
Zeist;ZST
Zetten;ZTN 
Zevenaar;ZV
Zevenhoven;ZVN
Zevenhuizen;ZHN
Zoetermeer;ZTR
Zoetermeer;ZMR
Zoeterwoude;ZTE
Zwammerdam;ZMM
