Abcoude;ABC
Berkenwoude;BKE
Boskoop;BKP
Driebruggen;DBN
De Zilk;DZK
Gouda;GDA
Gouderak;GDK
Hekendorp;HKP
Hillegom;HLM
Hoogmade;HME
Haastrecht;HTT
Hazerswoude;HWE
Hazerswoude-Dorp;HZD
Hazerswoude-Rijndijk;HZR
De Kaag;KAG
Krimpen aan de Lek;KAL
Koudekerk aan den Rijn;KAR
Krimpen aan den Ijssel;KAY
Koudekerk;KDK
Katwijk;KWK
Leiden;LDN
Leiderdorp;LDP
Lekkerkerk;LKK
Leimuiden;LMN
Liemeer;LMR
Lopik;LPK
Lisse;LSE
Lisserbroek;LSK
Leidschendam;LSM
Moordrecht;MDT
Moerkapelle;MKE
Nieuwerkerk aan den Ijssel;NAY
Nieuwerbrug;NBG
Noorden;NDN
Nieuwkoop;NKP
Nieuwveen;NVN
Nieuw Vennep;NVP
Nieuwe Wetering;NWG
Noordwijk;NWK
Noordwijkerhout;NWT
Oude Ade;OAE
Ouderkerk aan den Ijssel;OAY
Oegstgeest;OGT
Ouderkerk;OKK
Oude Wetering;OWG
Oudewater;OWT
Polsbroek;PBK
Rijnsaterswoude;RAE
Rijnsburg;RBG
Roelofarendsveen;RLN
Rijpwetering;RWG
Reeuwijk;RWK
Schoonhoven;SHN
Snelrewaard;SNW
Sassenheim;SSM
Stolwijk;SWK
Stolwijkersluis;SWS
Ter Aar;TAR
Vrouwenakker;VAR
Voorhout;VHT
Valkenburg zh;VKG
Voorschoten;VSN
Vlist;VST
Woubrugge;WBE
Waddinxveen;WDN
Waarder;WDR
Warmond;WMD
Woerden;WRN
Wassenaar;WSR
Woerdense Verlaat;WVT
Zevenhuizen;ZHN
Zwammerdam;ZMM
Zoetermeer;ZMR
Zoeterwoude;ZTE
Zevenhoven;ZVN
Aerdt;AER
Angeren;AGN
Arnhem;AH
Andelst;AND 
Bemmel;BML
Bennekom;BNK
Barneveld;BNV
Doesburg;DBG
Doornenburg;DNB 
Doesburg;DOE 
Driel;DRL 
Dieren;DRN 
Doorwerth;DRW 
Duiven;DVN 
Ede;EDE
Ellecom;ELC
Elst;ELS
Gendt;GNT
Garderen;GRD
Hemmen;HEM
Heteren;HET
Heelsum;HLS
Homoet;HMT
Herveld;HRV
Harskamp;HSK
Huissen;HUI
Hoevelaken;HVH
Kootwijkerbroek;KWB
Lobith;LOB
Laag Soeren;LSO 
Lunteren;LUN
Nijkerk;NK
Oosterbeek;OBK 
Oosterhout;OSH
Otterlo;OTL
Pannerden;PND 
Putten;PTN 
Rheden;RHD
Renkum;RK
Rozendaal;ROZ
Slijk-Ewijk;SEW
Spankeren;SPA
Scherpenzeel;SPZ
De Steeg;STG
Stroe;STR
Tolkamer;TLK 
Terschuur;TSC
Valburg;VLB
De Valk;VLK
Velp;VLP
Voorthuizen;VTH
Wageningen;WAG
Wekerom;WEK
Wolfheze;WHZ
Westervoort;WVT
Zetten;ZTN 
Zevenaar;ZV
Eindhoven;EIN
Rotterdam:Rdam
